,name,ad,item,text,who,page
657,Senator Nick McKim,Addition,Travel or hospitality,"Upgrade from Economy to Business Class, melbourne to Perth Tuesday 5th June 2018 Flight VA 0683, Virgin Australia",Self,15
658,Senator Nick McKim,Addition,Travel or hospitality,"Upgrade from Economy to Business Class, Melbourne to Perth Tuesday 5th June 2018 Flight VA 0683 Virgin Australia",Self,15
659,Senator Nick McKim,Addition,Not listed,"Donations to:
Tasmanian Greens Limited,
Environmental Defenders Office,
Island Magazine",Self,14
661,Ms Julia Banks MP,Addition,Shareholding,Telstra (jointly owned with spouse),Self,2
662,Ms Julia Banks MP,Addition,Shareholding,CBA,Spouse,2
663,Ms Julia Banks MP,Addition,Trust beneficiary,"Banks Family Trust, Established but currently devoid of assets",Self,2
664,Ms Julia Banks MP,Addition,Shareholding,Mondelez,Self,8
665,Ms Julia Banks MP,Addition,Shareholding,GlaxoSmithKline (GSK),Self,8
666,Ms Julia Banks MP,Addition,Gift,Australian Subscription Television Association Foxtel Subscription/Installed in electorate office 2017,Self,8
667,Ms Julia Banks MP,Addition,Other asset,"Colonial First State, Superannuation Account",Self,5
668,Ms Julia Banks MP,Addition,Other asset,Plum Superannuation Account,Spouse,5
669,Ms Julia Banks MP,Addition,Other income,Employment as MP,Self,5
670,Ms Julia Banks MP,Addition,Other income,Income from investments -- set out above,Self,5
671,Ms Julia Banks MP,Addition,Other income,Income from employment (Executive Recruiter -- Agriculture),Spouse,5
672,Ms Julia Banks MP,Addition,Gift,Chairman's Club - Qantas,Self,5
673,Ms Julia Banks MP,Addition,Gift,Executive Club - Virgin,Self,5
674,Ms Julia Banks MP,Addition,Gift,Chairman's Club - Qantas,Spouse,5
675,Ms Julia Banks MP,Addition,Gift,Executive Club - Virgin,Spouse,5
678,Ms Julia Banks MP,Addition,Liability,"Managed Fund Account, BT (owned by Westpac) -- jointly owned with spouse",Self,4
679,Ms Julia Banks MP,Addition,Liability,"Managed Fund Account, BT (owned by Westpac) -- jointly owned with spouse",Spouse,4
680,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, UBank",Self,4
681,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, Bank of Melbourne",Self,4
682,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, Bank West",Self,4
683,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, ME Bank",Self,4
684,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, RAMS",Self,4
685,Ms Julia Banks MP,Addition,Savings/other accounts,"Savings account, NAB",Self,4
686,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, UBank",Spouse,4
687,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, Bank of Melbourne",Spouse,4
688,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, Bank West",Spouse,4
689,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, ME Bank",Spouse,4
690,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, RAMS",Spouse,4
691,Ms Julia Banks MP,Addition,Savings/other accounts,"Savings account, NAB",Spouse,4
692,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Primary residence, jointly owned with spouse",Self,3
693,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Investment, jointly owned with spouse",Self,3
694,Ms Julia Banks MP,Addition,Real estate,"Mornington Peninsula, Victoria, Residence, jointly owned with spouse",Self,3
695,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Primary residence, jointly owned with spouse",Spouse,3
696,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Investment, jointly owned with spouse",Spouse,3
697,Ms Julia Banks MP,Addition,Real estate,"Mornington Peninsula, Victoria, Residence, jointly owned with spouse",Spouse,3
698,Ms Julia Banks MP,Addition,Real estate,"Braeside, Victoria, Investment, jointly owned with my brother",Self,3
699,Ms Julia Banks MP,Addition,Real estate,"Bealiba, Victoria, Investment, jointly owned with my brother",Self,3
701,Ms Julia Banks MP,Addition,Shareholding,Telstra (jointly owned with spouse),Self,2
702,Ms Julia Banks MP,Addition,Shareholding,Telstra (jointly owned with spouse),Spouse,2
703,Ms Julia Banks MP,Addition,Shareholding,CBA,Spouse,2
704,Ms Julia Banks MP,Addition,Trust beneficiary,"Banks Family Trust, Established but currently devoid of assets",Self,2
705,Ms Julia Banks MP,Addition,Other asset,"Colonial First State, Superannuation Account ",Self,5
706,Ms Julia Banks MP,Addition,Other asset,Plum Superannuation Account ,Spouse,5
707,Ms Julia Banks MP,Addition,Other income,Employment as MP ,Self,5
708,Ms Julia Banks MP,Addition,Other income,Income from investments - set out above ,Self,5
709,Ms Julia Banks MP,Addition,Other income,Income from employment (Executive Recruiter - Agriculture) ,Spouse,5
710,Ms Julia Banks MP,Addition,Gift,Chairman's Club - Qantas ,Self,5
711,Ms Julia Banks MP,Addition,Gift,Executive Club - Virgin ,Self,5
712,Ms Julia Banks MP,Addition,Gift,Chairman's Club - Qantas ,Spouse,5
713,Ms Julia Banks MP,Addition,Gift,Executive Club - Virgin,Spouse,5
715,Ms Julia Banks MP,Addition,Shareholding,"Shares: Mondelez, GlaxoSmithKline (GSK)",Self,8
716,Ms Julia Banks MP,Addition,Gift,Australian Subscription Television Association Foxtel Subscription/Installed in electorate office 2017,Self,8
717,Ms Julia Banks MP,Addition,Real estate,"Malvern Victoria, primary residence jointly owned with spouse ",Self,3
718,Ms Julia Banks MP,Addition,Real estate,"Malvern Victoria, investment jointly owned with spouse",Self,3
719,Ms Julia Banks MP,Addition,Real estate,"Malvern Victoria, investment jointly owned with spouse",Spouse,3
720,Ms Julia Banks MP,Addition,Real estate,"Malvern Victoria, primary residence jointly owned with spouse ",Spouse,3
721,Ms Julia Banks MP,Addition,Real estate,"Mornington Peninsula Victoria, residence jointly owned with spouse ",Self,3
722,Ms Julia Banks MP,Addition,Real estate,"Mornington Peninsula Victoria, residence jointly owned with spouse ",Spouse,3
723,Ms Julia Banks MP,Addition,Real estate,"Braeside Victoria, investment jointly owned with my brother ",Self,3
724,Ms Julia Banks MP,Addition,Real estate,"Bealiba Victoria, Investment jointly owned with my brother ",Self,3
725,Ms Julia Banks MP,Addition,Bonds/debenture,"Managed Fund Account, BT (owned by Westpac) - jointly owned with spouse",Self,4
726,Ms Julia Banks MP,Addition,Bonds/debenture,"Managed Fund Account, BT (owned by Westpac) - jointly owned with spouse",Spouse,4
727,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, UBank )",Self,4
728,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, Bank of Melbourne ) all",Self,4
729,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, Bank West ) jointly ",Self,4
730,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, ME Bank ",Self,4
731,Ms Julia Banks MP,Addition,Savings/other accounts,"Savings account, NAB ",Self,4
732,Ms Julia Banks MP,Addition,Savings/other accounts,"Online savings account, RAMS",Self,4
733,Ms Julia Banks MP,Addition,Savings/other accounts,"Managed Fund Account, BT (owned by Westpac) - jointly owned with spouse",Spouse,4
734,Ms Julia Banks MP,Addition,Bonds/debenture,"Managed Fund Account, BT (owned by Westpac) - jointly owned with spouse",Spouse,4
736,Ms Julia Banks MP,Addition,Trust beneficiary,"Discretionary, Beneficial interest ",Self,9
737,Ms Julia Banks MP,Addition,Trust beneficiary,"Discretionary, Beneficial interest",Spouse,9
738,Ms Julia Banks MP,Addition,Trust beneficiary,"Discretionary, Beneficial interest",Other,9
739,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Investment ",Self,9
740,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Investment ",Spouse,9
741,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, U Bank ",Self,9
742,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank of Melb",Self,9
743,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank West",Self,9
744,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, ME Bank ",Self,9
745,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, U Bank ",Spouse,9
746,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank of Melb",Spouse,9
747,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank West",Spouse,9
748,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, ME Bank ",Spouse,9
749,Ms Julia Banks MP,Addition,Trust beneficiary,"Discretionary, Beneficial interest: yes",Self,9
750,Ms Julia Banks MP,Addition,Trust beneficiary,"Discretionary, Beneficial interest: yes",Spouse,9
751,Ms Julia Banks MP,Addition,Trust beneficiary,"Discretionary, Beneficial interest: yes",Other,9
752,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Investment",Self,9
753,Ms Julia Banks MP,Addition,Real estate,"Malvern, Victoria, Investment",Spouse,9
754,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, UBank",Self,9
755,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, UBank",Spouse,9
756,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank of Melbourne",Self,9
757,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank of Melbourne",Spouse,9
758,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank West",Self,9
759,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, Bank West",Spouse,9
760,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, ME Bank",Self,9
761,Ms Julia Banks MP,Deletion,Savings/other accounts,"Online savings account, ME Bank",Spouse,9
762,Ms Julia Banks MP,Addition,Travel or hospitality,Self and guest attendance at 2017 Melbourne Cup. Guests of Lion and Tabcorp,Self,10
763,Ms Julia Banks MP,Addition,Travel or hospitality,Self and guest attendance at 2017 Melbourne Cup. Guests of Lion and Tabcorp.,Self,10
764,Ms Julia Banks MP,Addition,Other conflict,Pro bono independent legal advice received from Arnold Bloch Liebler,Self,11
765,Ms Julia Banks MP,Addition,Other conflict,Pro bono independent legal advice received from Arnold Bloch Leibler,Self,11
766,Ms Julia Banks MP,Addition,Travel or hospitality,"Melbourne/Sydney return airfares, accommodation and complimentary guest ticket for attendance at Future Women Event in Sydney (Future Women Club)",Self,12
767,Ms Julia Banks MP,Addition,Travel or hospitality,Self and guest attendance at 2018 Melbourne Cup. (Guests of Tabcorp and Lion),Self,12
768,Ms Julia Banks MP,Addition,Travel or hospitality,"Melbourne/Sydney return airfares, accommodation and complimentary guest ticket for attendance at Future Women Event in Sydney (Future Women Club)",Self,12
769,Ms Julia Banks MP,Addition,Gift,Complimentary guest ticket for attendance at Future Women Event in Sydney (Future Women Club),Self,12
770,Ms Julia Banks MP,Addition,Travel or hospitality,Self and guest attendance at 2018 Melbourne Cup. (Guests of Tabcorp and Lion),Self,12
771,Ms Julia Banks MP,Addition,Travel or hospitality,"Melbourne/Sydney return airfares, accommodation and some ground transport for Stellar Magazine, 14-15/01/19.",Self,13
772,Ms Julia Banks MP,Addition,Travel or hospitality,"Melbourne/Sydney return airfare and some ground transport for attendance at Q&A, ABC 4-5/02/19",Self,13
773,Ms Julia Banks MP,Addition,Travel or hospitality,"14-15/01/10, Melbourne/Sydney return airfares, accommodation and some ground transport for Stellar Magazine.",Self,13
774,Ms Julia Banks MP,Addition,Travel or hospitality,"4-5/02/19, Melbourne/Sydney return airfares and some ground transport for attendance at Q&A, ABC.",Self,13
775,Ms Julia Banks MP,Addition,Travel or hospitality,"Melbourne/Sydney return airfares and 2 x complimentary guest tickets for attendance at All About Women event, Sydney.",Self,14
776,Ms Julia Banks MP,Addition,Travel or hospitality,"Melbourne/Sydney return airfares and 2 x complimentary guest tickets for attendance at All About Women event, Sydney.",Self,14
778,Senator John Williams,Addition,Liability,"Business loan, National Bank",Self,4
779,Senator John Williams,Addition,Savings/other accounts,"Savings, St George",Self,4
780,Senator John Williams,Addition,Membership,The Nationals NSW,Self,6
781,Senator John Williams,Addition,Membership,The Nationals Federal,Self,6
782,Senator John Williams,Addition,Membership,National Rural Health - Dental Scholarship,Self,6
783,Senator John Williams,Addition,Membership,Sacred Heart Church Inverell,Self,6
785,Senator John Williams,Addition,Other asset,"Nancy Capel Family Trust, Block land Newcastle, 1/4 share as beneficiary",Self,7
786,Senator John Williams,Addition,Liability,Westpac loan - Nancy Capel Family Trust,Self,7
788,Senator John Williams,Addition,Real estate,"Rob Roy, Inverell NSW, Rural and Residential",Self,3
789,Senator John Williams,Addition,Real estate,"Rob Roy, Inverell NSW, Rural and Residential",Self,3
791,Senator John Williams,Addition,Other asset,Nancy Capel Family Trust Block land Newcastle 1/4 share as beneficiary,Self,7
792,Senator John Williams,Addition,Liability,Westpac loan - Nancy Capel Family Trust,Self,7
794,Senator John Williams,Addition,Liability,"Business loan, National Bank",Self,4
795,Senator John Williams,Addition,Savings/other accounts,"Savings, St George",Self,4
796,Senator John Williams,Addition,Membership,The Nationals NSW,Self,6
797,Senator John Williams,Addition,Membership,The Nationals Federal,Self,6
798,Senator John Williams,Addition,Membership,Nationals Rural Health - Dental Scholarship,Self,6
799,Senator John Williams,Addition,Membership,Sacred Heart Church Inverell,Self,6
801,Senator John Williams,Addition,Travel or hospitality,Flight from Tamworth - Canberra 3/12/17 Compliments Rex Airlines,Self,8
802,Senator John Williams,Addition,Travel or hospitality,"Flight from Tamworth - Canberra 3/12/17, Complements Rex Airlines",Self,8
803,Senator John Williams,Addition,Trust beneficiary,Nancy Capel Family Trust,Self,9
804,Senator John Williams,Addition,Trust beneficiary,Neurotech Pty Ltd (50% Nancy Capel Family Trust),Self,9
805,Senator John Williams,Deletion,Other asset,Block Land Newcastle,Self,9
806,Senator John Williams,Deletion,Liability,Westpac Loan - Nancy Capel Family Trust,Self,9
807,Senator John Williams,Addition,Trust beneficiary,Nancy Capel Family Trust,Self,9
808,Senator John Williams,Addition,Trustee,Neurotech Pty Ltd (50% Nancy Capel Family Trust),Self,9
809,Senator John Williams,Deletion,Other asset,Block land Newcastle,Self,9
810,Senator John Williams,Deletion,Liability,Westpac Loan - Nancy Capel Family Trust,Self,9
812,Senator the Hon Concetta Fierravanti-Wells,Addition,Partnership,"C. Fierravanti - Wells & J.W . Wells, family partnership, primary production ( vines and olives)",Self,3
813,Senator the Hon Concetta Fierravanti-Wells,Addition,Liability,Mortgage ( Neutral Bay Property ) - Westpac,Self,3
814,Senator the Hon Concetta Fierravanti-Wells,Addition,Liability,Mortgage ( Italy Property ) - Westpac,Self,3
815,Senator the Hon Concetta Fierravanti-Wells,Addition,Bonds/debenture,N/A,Self,3
816,Senator the Hon Concetta Fierravanti-Wells,Addition,Savings/other accounts,Cheque and Savings accounts - Westpac,Self,3
817,Senator the Hon Concetta Fierravanti-Wells,Addition,Savings/other accounts,Account with Monte dei Paschi di Siena,Self,3
818,Senator the Hon Concetta Fierravanti-Wells,Addition,Shareholding,NIB Holdings Ltd . Shares,Self,2
819,Senator the Hon Concetta Fierravanti-Wells,Addition,Shareholding,David Jones shares acquired in takeover and fully paid out on 1/8/2014,Self,2
820,Senator the Hon Concetta Fierravanti-Wells,Addition,Trust beneficiary,N/A,Self,2
821,Senator the Hon Concetta Fierravanti-Wells,Addition,Trustee,N/A,Self,2
822,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,Newport NSW- Home,Self,2
823,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,Neutral Bay NSW -Investment,Self,2
824,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,"Umbria , Italy - Investment",Self,2
825,Senator the Hon Concetta Fierravanti-Wells,Addition,Directorship,N/A,Self,2
826,Senator the Hon Concetta Fierravanti-Wells,Addition,Shareholding,"NIB Holdings Ltd, Shares",Self,2
827,Senator the Hon Concetta Fierravanti-Wells,Addition,Shareholding,David Jones shares acquired in takeover and fully paid out on 1/8/2014.,Self,2
828,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,"Newport, NSW - Home",Self,2
829,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,"Neutral Bay, NSW - Investment",Self,2
830,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,"Umbria, Italy - Investment",Self,2
831,Senator the Hon Concetta Fierravanti-Wells,Addition,Partnership,"C. Fierravanti-Wells & J.W. Wells, family partnership, primary production (vines & olives)",Self,3
832,Senator the Hon Concetta Fierravanti-Wells,Addition,Liability,Mortgage (Neutral Bay Property) - Westpac ,Self,3
833,Senator the Hon Concetta Fierravanti-Wells,Addition,Liability,Mortgage (Italy Property) - Westpac ,Self,3
834,Senator the Hon Concetta Fierravanti-Wells,Addition,Savings/other accounts,Cheque and Savings accounts - Westpac,Self,3
835,Senator the Hon Concetta Fierravanti-Wells,Addition,Savings/other accounts,Account with Monte dei Paschi di Siena,Self,3
836,Senator the Hon Concetta Fierravanti-Wells,Addition,Other asset,"Superannuation - CSS, First Super and Agest ",Self,3
838,Senator the Hon Concetta Fierravanti-Wells,Addition,Shareholding,"NIB Holdings Ltd, Shares
",Self,2
839,Senator the Hon Concetta Fierravanti-Wells,Addition,Shareholding,David Jones shares acquired in takeover and fully paid for on 1/8/2014,Self,2
840,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,"Newport, NSW - Home",Self,2
841,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,"Neutral Bay, NSW - Investment",Self,2
842,Senator the Hon Concetta Fierravanti-Wells,Addition,Real estate,"Umbria, Italy - Investment",Self,2
843,Senator the Hon Concetta Fierravanti-Wells,Addition,Partnership,"C. Fierravanti-Wells & J.W. Wells, family partnership, primary production (vines and olives)",Self,3
844,Senator the Hon Concetta Fierravanti-Wells,Addition,Liability,Mortgage (Neutral Bay Property) - Westpac,Self,3
845,Senator the Hon Concetta Fierravanti-Wells,Addition,Liability,Mortgage (Italy Property) - Westpac,Self,3
846,Senator the Hon Concetta Fierravanti-Wells,Addition,Savings/other accounts,Cheque and Savings accounts - Westpac,Self,3
847,Senator the Hon Concetta Fierravanti-Wells,Addition,Savings/other accounts,Account with Monte dei Paschi di Siena,Self,3
848,Senator the Hon Concetta Fierravanti-Wells,Addition,Other asset,"Superannuation - CSS, First Super and Agest",Self,3
849,Senator the Hon Concetta Fierravanti-Wells,Addition,Other income,Income from investment properties in Neutral Bay and Italy,Self,4
850,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,10 small gifts from Special Broadcasting Service given to me at the time of the launch of SBS radio's second frequency to Woollongong on 13/2/2006 (value $49),Self,4
851,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,Complementary Annual Pass to Taronga and Western Plains Zoo for the following perdios: 30/6/2005 to 30/6/2006 and 30/6/2006 to 30/6/2007,Self,4
852,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"I travelled to Italy on an approved study leave in January 2009 and subsequently produced a 620 page report entitled from the farm to the wardrobe ... a snapshot of the Australian wool industry, August 2009. The report was also tabled as a report to the Senate. During my study leave trip, I was given the following gifts, Roll of fine wool fabric (4 x 1.4 metres) from Lanifico Cerruti; Roll of fine wool fabric (3 x 1.3 metres) and 4 woollen travel pouches from Vitale Barberis Canonico; Lare fine woolen shawl and seamless knitwear samples courtesy of Santoni Seamlesswear and Knitting machines. Samples were given to a textile and fashion industry representative but I retained the shawl. ",Self,4
853,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,Gift from the Australian Club given to me at their 50th Anniversary Dinner. Sworovski Crystal Paper Weight.,Self,4
854,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,4 x $20 vouchers from QANTAS for use in retail outlets at terminals where QANTAS operates received 15/11/2012.,Self,4
855,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"36 Bottles of Outback Jack - Classic Dry Red onated on 10/7/2013 for fundraising dinner by Frank Moschella, Ferndale Gardens",Self,4
856,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,1 bottle Moet & Chandon Imperial Champagne received from Asciano Ltd on 24/10/2013,Self,4
857,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,Artwork from Multicultural Development Association received 7/11/2013.,Self,4
858,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,Artwork gifted by a local artist while visiting Access Community Services on 7/11/2013.,Self,4
859,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"22/09/16 - Peal pendant presented by Governor of Haápai (Tonga), Moále Finau as thank you. Value: AUD$100",Self,8
860,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"28/11/16 - Hamper of Australian goods (wine & food) from Andrew Parker, Qantas 96th Anniversary of Qantas. Value: Less than AUD$100",Self,8
861,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"19/01/2017 - Book: Republic of San Marino Travel diary, presented by Dr Nicola Renzi, Minister for Foreign & Political Affairs. Value AUD$50",Self,9
862,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"19/01/2017 - Gold coin of the Republic of San Marino, presented by Dr Nicola Renzi, Minister for Foreign & Political Affairs. Value: AUD$90",Self,9
863,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"Pashimina presented by Hon Dr Prakash Shran Mahat, Minister of Foreign Affairs, Nepal after Minister Fierravanti-Wells departure. Value $203AUD",Self,10
864,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"Handcrafted linen handtowel present by FM Dacic & City Manager Vesic, Belgrade. Value $74AUD",Self,10
865,Senator the Hon Concetta Fierravanti-Wells,Addition,Membership,Patron of Surf Life Saving Illawarra,Self,11
866,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"Pure silk carpet presented by Mr Khanlar Fatiyev, Chair, Australia-Azerbaijan Parliamentary Friendship Group during Minister's visit to Azerbaijan. Value: $1876AUD",Self,12
867,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,Honorary Membership of Club Marconi since 1 May 2005.,Self,7
868,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,Patron of HANDITAL NSW (Association of Italian Families and Friends of People with a Disability) since 28/4/2005.,Self,7
869,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,Joined the board of Father Chris Riley's Youth off the Streets in 2000 and became a chairman in 2002. I resigned in 2004 before becoming a senator.,Self,7
870,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,"Patron of the NSW Justices Association, Wollongong branch since 5/8/2011",Self,7
871,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,"Patron of Arthritis NSW, Wollongong Chapter",Self,7
872,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,"Member, Royal Motor Yacht Club, Broken Bay",Self,7
873,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,Cheque to Fr Chris Riley's Youth off the Streets dated 13/4/2006 for badges distributed to members and senators.,Self,7
874,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,Donation of a prize of in-kind accommodation for GO Fund Charity Dinner on 23/11/2006. Prize not claimed,Self,7
875,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,Raffle prize won at the Garvan Institute Gala Fundraising Dinner on 14/5/2011 for 3 nights accommodation for two people on Hayman Island. Trip not used within the year and returned to organisers on 17/4/2012.,Self,7
876,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,Book and complimentary voucher to lunch or dinner at Beppi's Restaurant won in raffle at the Italian National Ball on 17/5/2013. Expired and not redeemed,Self,7
877,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,"My brother, Canio Fierravanti was appointed Manager, Governmetn Relations for the University of Wollongong in 1999. In January 2013, he became Director Government Relations heading up the University's Government Relations Unit, reporting to Vice-Chancellor, Professor Paul Wellings CBE",Self,7
878,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,"In 2013, my step-daughter, Amelia Bowen worked for Mediabrands (part of IPG Group), then The Benevolent Society and then in 2015 for a period with Australian Radio Network as a payroll manager.",Self,7
879,Senator the Hon Concetta Fierravanti-Wells,Addition,Other conflict,"My mother is in full time care in a Commonwealth subsidised aged care facility. My father was also in care, but passed away on 21/4/2015.",Self,7
880,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,I won a Samsung Galaxy S5 16 GB Smartphone in a raffle at the Italian National Ball organised by Co.As.It on 16/5/2014.,Self,5
881,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,Personalised hi-vis Australian for Coal mining shirt from the Minerals Council of Australia,Self,5
882,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,Received Backpack bed from Swags for Homeless (cost value of $84.70) on 29/11/2014.,Self,5
883,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"Given 2 umbrellas from Marco Polo, Unanderra Care services (valued at $60) on 5/1/2014.",Self,5
884,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,"Received Apple TV from CEO, Velocity Frequent Flyer (valued at $109) on 5/1/2015.",Self,5
885,Senator the Hon Concetta Fierravanti-Wells,Addition,Gift,1 complementary book voucher from Federation Press given to me on 24/7/2015 following address to Australian Institute of Administrative Law Conference on 24/7/2015.,Self,5
886,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Membership of Qantas Chairmans Lounge since 6 June 2005.,Self,5
887,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,"Trip to Israel in July 2005 sponsored by the Australia/Israel & Jewish Affairs Council covering business class travel, accommodation and hospitality. Return trip from Israel was via Italy (only travel component sponsored). Upgrade to first-class on Rome-Hong Kong sector.",Self,5
888,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from Business to first class EK419 Sydney-Bangkok (18/9/2005) - self-funded trip.,Self,5
889,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from Business to first class EK96 Rome-Dubai (30/9/2005) - self-funded trip.,Self,5
890,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from business to first class EK418 Dubai-Sydney via Bangkok (1/10/2005) - self-funded trip.,Self,5
891,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Attendance by myself and my husband at the Sydney Institute Annual Dinner and Lecture as guests of AMP on 5/4/2006,Self,5
892,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from economy to business class QF188 Hong Kong-Sydney (17/11/2006) - self-funded trip.,Self,5
893,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Attendance by myself and my husband at the Spettacolare Dinner with Sophia Loren on 3/6/2007 as guests of the Italian Australian Film Festival.,Self,5
894,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from economy to business class QF187 Sydney-Hong Kong (28/9/2007) - self-funded trip.,Self,5
895,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from economy to business class QF187 Sydney-Hong Kong (25/12/2007) - self-funded trip.,Self,5
896,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Attendance by myself and my husband at the 15th Freshest Ball for the Victor Chang Cardiac Research Institute on 3/5/2008 as guests of the Riccio Family.,Self,5
897,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from economy to business class QF187 Sydney-Hong Kong (20/10/2008) - self-funded trip.,Self,5
898,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,Upgrade from economy to business class QF188 Hong Kong-Sydney (11/8/2008) - self-funded trip.,Self,5
899,Senator the Hon Concetta Fierravanti-Wells,Addition,Travel or hospitality,"Since October 2010, I have stayed at the Hotel Windsor in Melbourne on various occasions. On a few of these occasions, I have received an upgrade from a standard room.",Self,5
